case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
500;validation;student;female;56-65;old;academic;working; ;4;4;5;4;4;4;5;4;4;4;4;3;3;3;4;2;4;4;4;4;3;2;4;3;4;4;4;3;4;3;4;4
697;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;5;5;5;5;6;6;5;5;5;6;4;5;5;0;5;3;4;6;5;5;5;5;;0;5;5;4
959;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;5;5;5;5;5;5;5;6;5;5;5;4;5;6;1;6;3;5;6;4;6;4;6;0;2;5;4;6
1 066;validation;student;female;36-45;old;academic;other; ;4;5;3;5;4;3;5;4;4;3;4;5;4;4;3;4;6;4;3;5;3;4;4;4;4;4;4;2;2;4;4;4
190;validation;student;female;21-25;young;academic;student; ;1;1;2;4;4;2;3;2;4;4;4;5;3;4;5;6;6;3;3;4;5;4;5;2;4;3;4;3;3;0;3;4
1 112;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;6;5;4;5;5;4;6;5;5;4;5;6;4;6;6;1;6;1;6;5;4;5;4;5;1;0;6;4;4
319;validation;student;female;21-25;young;collegevocational;student; ;5;5;5;4;5;4;5;2;4;5;6;4;6;4;5;4;4;5;2;4;5;4;4;3;4;5;4;3;2;5;4;3
1 218;validation;daycare;female; ; ;academic;working;employee;4;4;3;4;6;5;6;4;6;4;4;4;5;4;4;4;5;4;3;4;3;4;4;4;5;5;5;1;1;5;4;4
729;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;4;5;5;4;5;5;5;5;5;5;2;4;5;2;6;1;4;5;4;3;4;5;1;0;4;4;3
101;validation;daycare;female; ; ;collegevocational;working;employee;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;2;5;3;5;5;5;5;5;4;2;2;5;5;5
354;validation;daycare;female; ; ;academic;working;employee;3;4;5;1;5;5;5;4;5;4;2;4;2;3;5;3;4;5;3;5;5;5;5;4;4;2;6;2;1;5;5;3
976;validation;student;female;21-25;young;academic;student; ;3;4;5;4;4;3;5;4;3;4;5;4;3;3;5;3;4;4;3;5;3;5;5;4;3;4;3;1;2;4;4;4
1 219;validation;student;female;26-30;young;academic;working; ;5;4;4;4;3;3;4;4;4;3;2;5;2;3;5;2;3;3;4;5;2;4;4;4;4;2;4;3;2;3;4;3
233;validation;daycare;female; ; ;collegevocational;working;manager;4;5;5;5;5;4;5;4;5;5;5;4;4;4;5;4;4;4;3;5;2;5;5;4;4;4;5;1;2;4;5;5
1 067;validation;company;female;36-45;old; ;working;employee;4;4;4;4;4;3;4;4;4;6;5;5;5;5;5;5;3;2;3;5;3;4;4;3;4;3;2;2;3;4;4;5
107;validation;student;female;26-30;young;academic;other; ;3;3;3;4;3;5;3;3;3;4;3;6;1;2;4;4;4;4;3;4;3;3;5;3;5;2;5;5;4;2;2;3
47;validation;daycare;female; ; ; ;working;employee;6;6;6;6;6;6;6;6;5;5;5;6;5;5;6;5;6;5;0;6;1;6;5;5;6;6;6;0;0;6;6;6
181;validation;company;female;46-55;old; ;working;employee;5;5;5;6;6;5;6;5;5;5;5;5;5;5;5;3;6;3;3;5;3;3;4;2;2;6;4;1;1;5;5;6
1 128;validation;student;female;16-20;young;collegevocational;student; ;4;5;4;5;3;3;3;4;5;6;5;6;5;4;4;5;6;4;3;6;3;4;4;4;5;4;4;3;2;3;3;3
1 177;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;5;4;4;4;5;5;5;5;4;4;5;5;4;4;1;4;5;4;5;4;5;5;4;2;3;4;4;5
934;validation;daycare;female; ; ;collegevocational;working;employee;4;3;4;4;4;3;3;4;5;5;5;4;4;4;5;2;3;5;3;5;3;6;5;5;4;4;5;1;3;5;5;4
25;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;5;;5;5;4;5;5;5;4;2;5;;5;5;3;5;3;;5;4;4;5;5;1;2;;5;
356;validation;company;female;56-65;old; ;working;employee;5;5;5;6;5;5;5;5;4;5;6;5;4;5;5;3;5;5;3;4;1;5;5;4;4;4;6;2;2;4;5;5
241;validation;company;female;46-55;old; ;working;employee;5;4;5;3;3;4;4;4;4;4;4;3;4;2;4;1;3;4;1;4;1;4;4;4;5;4;5;1;2;4;4;4
772;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;4;4;4;4;6;5;4;4;4;4;5;4;3;3;3;5;1;5;6;5;4;4;4;1;1;5;5;5
230;validation;student;female;26-30;young;academic;working; ;4;4;4;4;3;4;4;4;4;4;5;4;2;3;4;4;4;4;3;5;4;4;4;4;5;2;3;3;4;5;4;5
255;validation;student;female;26-30;young;collegevocational;student; ;5;5;5;5;5;4;3;3;1;3;3;3;4;2;4;4;4;4;2;5;5;4;4;5;5;5;3;3;1;5;5;3
710;validation;daycare;female; ; ;academic;working;employee;4;4;4;3;3;3;5;4;4;5;5;5;3;4;5;4;3;5;1;5;3;4;6;4;4;3;5;1;1;3;5;4
155;validation;student;female;21-25;young;academic;student; ;5;4;4;4;2;3;4;4;5;3;5;4;5;4;3;5;6;5;4;5;3;5;4;4;4;4;4;2;3;5;2;5
615;validation;company;female;56-65;old; ;working;employee;4;5;4;4;4;4;;5;5;5;5;4;3;4;4;4;5;5;3;5;1;5;4;4;5;5;5;1;2;4;4;4
379;validation;student;female;26-30;young;academic;working; ;4;5;5;4;6;;5;3;4;4;5;4;4;4;5;6;6;0;2;6;4;4;2;3;6;5;4;1;3;4;2;4
213;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;3;3;3;4;5;5;4;3;5;4;4;5;6;4;3;4;2;3;3;3;4;5;4;3;2;4;3;4
1 188;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;4;4;3;4;3;4;4;3;4;4;3;3;2;3;3;3;3;4;3;4;3;3;5;3;3;2;3;3;5
